,,,,,,
,ID,Fuente,Autor,Tipo,Titulo,Fecha
,1,"https://institutes.abu.edu.ng/idr/public/assets/docs/Fundamentals%20of%20Air%20Pollution,%20Fourth%20Edition%20(%20PDFDrive%20).pdf",DANIEL A. VALLERO,Libro,Fundamentals of Air Pollution,2008
,2,"https://www.sebis.com/main/en/publications/Power,+Pollution+and+the+Internet.pdf",JAMES GLANZ,Noticia,"Power, Pollution and the Internet","September 22, 2012"
,3,https://www.nber.org/papers/w35100,Nicholas Z. Muller,Noticia,Measuring the Impact of Data Centers in the United States Economy: Monetary Damage from Air Pollution and Greenhouse Gas Emissions,April 2026
,4,https://sci-hub.mx/10.1016/j.rser.2015.12.283,"Huigui Rong a,n, Haomin Zhang a, Sheng Xiao a, Canbing Li b,n, Chunhua Hu c",Artículo,Optimizing energy consumption for data centers,11 December 2014
,5,,,,,
,6,,,,,
,7,,,,,
,8,,,,,
,9,,,,,
,10,,,,,
,11,,,,,
,12,,,,,
,13,,,,,
,14,,,,,
,15,,,,,
,16,,,,,
,17,,,,,
,18,,,,,
,19,,,,,
,20,,,,,
,21,,,,,
,22,,,,,
,23,,,,,
,24,,,,,
,25,,,,,
